id,damage_class,damage_score,centroid_lat,centroid_lon,google_maps_url,not_official_ems,external_verdict,external_answer,external_yes_share,external_sources,official_gra_overlap_count,triage_status,source_url
hot_caraballeda_t19,needs_human_review,65,10.60781296090145,-66.82562207268808,"https://www.google.com/maps/search/?api=1&query=10.60781296090145,-66.82562207268808",True,uncertain,No damage,0.3333,fair,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t20,needs_human_review,65,10.60570351361185,-66.85386142081887,"https://www.google.com/maps/search/?api=1&query=10.60570351361185,-66.85386142081887",True,uncertain,Not Sure,0.1667,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t21,needs_human_review,65,10.607191012303101,-66.85413795764342,"https://www.google.com/maps/search/?api=1&query=10.607191012303101,-66.85413795764342",True,uncertain,Yes-damaged/destroyed,0.3333,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t22,needs_human_review,65,10.605891674971,-66.85872059086614,"https://www.google.com/maps/search/?api=1&query=10.605891674971,-66.85872059086614",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t23,visual_confirmed_gap,95,10.608013322506899,-66.8615785070753,"https://www.google.com/maps/search/?api=1&query=10.608013322506899,-66.8615785070753",True,accepted,Yes-damaged/destroyed,0.625,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t24,needs_human_review,65,10.60844002304535,-66.86042606579974,"https://www.google.com/maps/search/?api=1&query=10.60844002304535,-66.86042606579974",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t27,needs_human_review,65,10.610288919384601,-66.85543236185434,"https://www.google.com/maps/search/?api=1&query=10.610288919384601,-66.85543236185434",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t28,needs_human_review,65,10.611292012078401,-66.8602377290829,"https://www.google.com/maps/search/?api=1&query=10.611292012078401,-66.8602377290829",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t30,needs_human_review,65,10.61235280630645,-66.86166667319839,"https://www.google.com/maps/search/?api=1&query=10.61235280630645,-66.86166667319839",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t31,needs_human_review,65,10.6124681610713,-66.85491376444763,"https://www.google.com/maps/search/?api=1&query=10.6124681610713,-66.85491376444763",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t32,needs_human_review,65,10.612875559699951,-66.85488686862564,"https://www.google.com/maps/search/?api=1&query=10.612875559699951,-66.85488686862564",True,uncertain,No damage,0.375,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t33,needs_human_review,65,10.6091243619485,-66.85213672786642,"https://www.google.com/maps/search/?api=1&query=10.6091243619485,-66.85213672786642",True,uncertain,Not Sure,0.1667,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t34,needs_human_review,65,10.60924734913305,-66.85287804710671,"https://www.google.com/maps/search/?api=1&query=10.60924734913305,-66.85287804710671",True,uncertain,No damage,0.1667,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t36,needs_human_review,65,10.610630999000449,-66.85128785375981,"https://www.google.com/maps/search/?api=1&query=10.610630999000449,-66.85128785375981",True,uncertain,No damage,0.3333,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t37,needs_human_review,65,10.61089619603355,-66.85164506223886,"https://www.google.com/maps/search/?api=1&query=10.61089619603355,-66.85164506223886",True,uncertain,Not Sure,0.1667,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t38,needs_human_review,65,10.61011981441445,-66.84944804893593,"https://www.google.com/maps/search/?api=1&query=10.61011981441445,-66.84944804893593",True,uncertain,Not Sure,0.3333,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t41,needs_human_review,65,10.6119761887077,-66.85194848950607,"https://www.google.com/maps/search/?api=1&query=10.6119761887077,-66.85194848950607",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t42,needs_human_review,65,10.6124027836897,-66.85079620040432,"https://www.google.com/maps/search/?api=1&query=10.6124027836897,-66.85079620040432",True,uncertain,Yes-damaged/destroyed,0.3333,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t43,visual_confirmed_gap,95,10.612629573294349,-66.85340422273723,"https://www.google.com/maps/search/?api=1&query=10.612629573294349,-66.85340422273723",True,accepted,Yes-damaged/destroyed,0.6667,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t44,visual_confirmed_gap,95,10.6130369674952,-66.85337732947744,"https://www.google.com/maps/search/?api=1&query=10.6130369674952,-66.85337732947744",True,accepted,Yes-damaged/destroyed,0.75,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
