old_id,new_id,old_index,new_index,old_damage_gra,new_damage_gra,old_damage_percent,new_damage_percent,old_geometry_hash,new_geometry_hash,iou,overlap_m2,centroid_distance_m,old_area_m2,new_area_m2,area_ratio,old_centroid_lat,old_centroid_lon,new_centroid_lat,new_centroid_lon,has_before_after_vlm,vlm_reuse_eligible,remap_action,notes
ems_00023,aoi12_v2_00026,23,26,Possibly damaged,Possibly damaged,35,35,fafc7b3cd31ec21d6a42d9a71cb1e5c5815a0b41add388bc35b57e4c944a61b5,5dbbcc55a16771478dd8ea479b0ab6f160b4f012371a3fc1f62611672d779187,1.0,6494.227,0.0,6494.227,6494.227,1.0,10.603995899107723,-67.03059873348374,10.603995899107723,-67.03059873348374,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00024,aoi12_v2_00027,24,27,Damaged,Damaged,70,70,a906df1d1b6ce5db25c81c51bf341d6ae96aff4347b2bc03b8eabbf0a1fd5614,54cefd9c766165470f1b2ae007fc5ced52581d27ae8f539dd63b45db73895956,1.0,8139.431,0.0,8139.431,8139.431,1.0,10.604292929232976,-67.02942549338852,10.604292929232976,-67.02942549338852,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00025,aoi12_v2_00028,25,28,Damaged,Damaged,70,70,2dc155dae2b712d9d0666304af3f8c3536cc738d7c971d498ccdc734022f360e,c6f14e1bc89d6307ebe2f0f0060c033b2ec08121b03b95345dbd6fc64cd3eb4d,1.0,7242.49,0.0,7242.49,7242.49,1.0,10.604352399560284,-67.03119116084169,10.604352399560284,-67.03119116084169,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00026,aoi12_v2_00032,26,32,Damaged,Damaged,70,70,bee5d0745eeafdf1819cb2f1b8b3b03838fdd1e6c0eb35cd2d8ad4e25b889903,649ba4ae770fe6b2907056e7add42985777fc32959d0b3f531e304795634cc2b,1.0,6064.006,0.0,6064.006,6064.006,1.0,10.605294046317017,-67.03209393562685,10.605294046317017,-67.03209393562685,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00027,aoi12_v2_00033,27,33,Damaged,Damaged,70,70,46b5fa0482195c6a2bbe885376b9406617898b9b125572f61b39850b2ce74a72,8ce66e962f080e44fd2e0f9fbfd7aabb2b0709dc07030cf7b8e052c80837e517,1.0,105476.19,0.0,105476.19,105476.19,1.0,10.605389589948691,-67.03494685109597,10.605389589948691,-67.03494685109597,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00028,aoi12_v2_00034,28,34,Damaged,Damaged,70,70,0d08d12ed863855348e31191dd2634744cc44bd43cd2c89a38338bd925130597,03176022cf5c8e7557b71aeb9c90cdbdc94819cb4fa48531add8c2a8a567cd04,1.0,47839.697,0.0,47839.697,47839.697,1.0,10.60521544774408,-67.03304344689383,10.60521544774408,-67.03304344689383,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00029,aoi12_v2_00035,29,35,Damaged,Damaged,70,70,3569febfbff2193425009c1970ddc63a93a59c162a9fd88fcd626e9b367752d3,0ae22db5f3faf70b45e971971309d5484039f12fa5651ca95f476250de4fe579,1.0,8300.116,0.0,8300.116,8300.116,1.0,10.605621034971376,-67.03093171649665,10.605621034971376,-67.03093171649665,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00030,aoi12_v2_00042,30,42,Damaged,Damaged,70,70,3cc2462be50cb1d56d25e3840ee12e5e4ecccd7fad471c3a5793a00ad175d470,5b140ca76fe84ccc0a7e6140ed8f386e7f07565fbdbe3744cdda387821c6ecad,1.0,14699.349,0.0,14699.349,14699.349,1.0,10.606090959035692,-67.02566619441708,10.606090959035692,-67.02566619441708,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00031,aoi12_v2_00037,31,37,Damaged,Damaged,70,70,0001bdc8c97a0367d00c2ede6003478dbeb1101b893d64ecea57951e0fb13126,a9ffe33f2f31313bf9b03b958b30b836cb693efff7dbe40c8e9d54bffe9331db,1.0,66940.351,0.0,66940.351,66940.351,1.0,10.60584507920392,-67.02886088491039,10.60584507920392,-67.02886088491039,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00032,aoi12_v2_00038,32,38,Damaged,Damaged,70,70,2856bd1c003d23c762003b5e44e9f3f677a026ae20413d34b1ad2eabb713b8b8,ec12d6320e8fce53ce17c25af44efda644286c5dcf43aed4ad4eb0ebeedcc0bd,1.0,8327.661,0.0,8327.661,8327.661,1.0,10.60802137673716,-67.03224694619043,10.60802137673716,-67.03224694619043,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
