aoiCode,aoiName,coverageClass,product,productStatusCode,sensorType,sensor,resolutionClass,acquisitionUtc,distinctAcquisitionId,cogUrl,httpStatus,publiclyReadable,bytes,acceptRanges,productDownloadUrl
AOI08,San Felipe,local-vhr-optical,GRA_PRODUCT,F,optical,Pleiades Neo,VHR1,2026-06-25T15:00:00,c0c17dcaf6753dba,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_PNEO_20260625_1500_ORTHO_cog.tif,200,True,222077456,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_v1.zip
AOI08,San Felipe,local-vhr-optical,GRA_PRODUCT,F,optical,Legion,VHR1,2026-06-25T20:37:00,cb2456d71fdcb923,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_LEGION_20260625_2037_ORTHO_cog.tif,200,True,271918321,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_v1.zip
AOI08,San Felipe,local-vhr-optical,GRA_MONIT01,F,optical,Legion,VHR1,2026-06-26T20:20:00,cd14d6356b00074c,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_LEGION_20260626_2020_ORTHO_cog.tif,200,True,211884738,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_v2.zip
AOI08,San Felipe,local-vhr-optical,GRA_MONIT01,F,optical,Pleiades Neo,VHR1,2026-06-26T15:18:00,408d1f23c9c61b80,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_PNEO_20260626_1518_ORTHO_cog.tif,200,True,281758142,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_v2.zip
AOI08,San Felipe,local-vhr-optical,GRA_MONIT02,N,optical,Legion,VHR1,2026-07-05T15:17:00,c2594249f0648ca9,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT02/EMSR884_AOI08_GRA_MONIT02_WORLDVIEW2_20260705_1517_ORTHO_cog.tif,200,True,282652188,bytes,
AOI09,Valencia,local-vhr-optical,GRA_PRODUCT,N,optical,Legion,VHR1,2026-06-26T14:04:00,46ab9c9145b8417b,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI09/GRA_PRODUCT/EMSR884_AOI09_GRA_PRODUCT_LEGION_20260626_1404_ORTHO_cog.tif,200,True,1102729826,bytes,
AOI10,Guacara,local-vhr-optical,GRA_PRODUCT,N,optical,Pleiades Neo,VHR1,2026-06-25T14:59:00,806225888295e739,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI10/GRA_PRODUCT/EMSR884_AOI10_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,200,True,706216767,bytes,
AOI11,Villa de Cura,local-vhr-optical,GRA_PRODUCT,N,optical,Pleiades Neo,VHR1,2026-06-26T15:19:00,61f7e533f510499e,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI11/GRA_PRODUCT/EMSR884_AOI11_GRA_PRODUCT_PNEO_20260626_1519_ORTHO_cog.tif,200,True,955020223,bytes,
AOI12,Caraballeda,local-vhr-optical,GRA_MONIT02,F,optical,GeoEye-1,VHR1,2026-07-05T15:05:00,33ad99039da80930,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_MONIT02/EMSR884_AOI12_GRA_MONIT02_GEOEYE1_20260705_1505_ORTHO_cog.tif,200,True,109259109,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI12/GRA_MONIT02/EMSR884_AOI12_GRA_MONIT02_v1.zip
AOI12,Caraballeda,local-vhr-optical,GRA_MONIT01,F,optical,Legion,VHR1,2026-06-26T15:10:00,a823346bb546255f,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_LEGION_20260626_1510_ORTHO_cog.tif,200,True,916351360,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_v3.zip
AOI12,Caraballeda,local-vhr-optical,GRA_PRODUCT,F,optical,Legion,VHR1,2026-06-26T15:10:00,a823346bb546255f,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_LEGION_20260626_1510_ORTHO_cog.tif,200,True,916351360,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_v2.zip
