source_layer,source_id,damaged_flag,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,lon,lat,google_maps
caraballeda_east,4464,1,1.0,1.0,0.7941731858645805,0.6855038094757556,0.0,-66.8579967,10.6169602,"https://www.google.com/maps/search/?api=1&query=10.6169602,-66.8579967"
caraballeda_east,4465,1,1.0,1.0,0.8265846574406287,0.5923410202655486,0.0,-66.8579785,10.6171436,"https://www.google.com/maps/search/?api=1&query=10.6171436,-66.8579785"
caraballeda_east,4476,1,1.0,1.0,0.7643730607775141,0.5664827502576851,0.0,-66.857329,10.6171797,"https://www.google.com/maps/search/?api=1&query=10.6171797,-66.8573290"
caraballeda_east,4478,1,1.0,1.0,0.6889471384884229,0.5226320767463857,0.0,-66.8573494,10.6172648,"https://www.google.com/maps/search/?api=1&query=10.6172648,-66.8573494"
caraballeda_east,4514,1,1.0,1.0,1.0,1.0,0.0,-66.8568418,10.6173917,"https://www.google.com/maps/search/?api=1&query=10.6173917,-66.8568418"
caraballeda_east,4515,1,1.0,1.0,1.0,0.8833229343078706,0.0,-66.8568948,10.6176533,"https://www.google.com/maps/search/?api=1&query=10.6176533,-66.8568948"
caraballeda_east,4516,1,1.0,1.0,0.7213087800065768,0.6073574003089421,0.0,-66.8570508,10.6176872,"https://www.google.com/maps/search/?api=1&query=10.6176872,-66.8570508"
caraballeda_east,4517,1,1.0,1.0,0.9549381895520405,0.8527465918203689,0.0,-66.8568194,10.6177007,"https://www.google.com/maps/search/?api=1&query=10.6177007,-66.8568194"
caraballeda_east,4521,1,1.0,1.0,1.0,0.9178846998306255,0.0,-66.8565693,10.6179395,"https://www.google.com/maps/search/?api=1&query=10.6179395,-66.8565693"
caraballeda_east,4523,1,1.0,1.0,1.0,0.876309830972566,0.0,-66.8566336,10.6179541,"https://www.google.com/maps/search/?api=1&query=10.6179541,-66.8566336"
caraballeda_east,4525,1,1.0,1.0,0.7688979039891819,0.5798819527811124,0.0,-66.8552993,10.617665,"https://www.google.com/maps/search/?api=1&query=10.6176650,-66.8552993"
caraballeda_east,4526,1,1.0,1.0,0.459536036833717,0.5808508102955195,0.0,-66.8549831,10.6177284,"https://www.google.com/maps/search/?api=1&query=10.6177284,-66.8549831"
caraballeda_east,4527,1,1.0,1.0,0.8630672926447575,0.7798060467769538,0.0,-66.8553417,10.6178103,"https://www.google.com/maps/search/?api=1&query=10.6178103,-66.8553417"
caraballeda_east,4529,1,1.0,1.0,0.9005511622334053,0.8973407254275512,0.0,-66.8553734,10.6179624,"https://www.google.com/maps/search/?api=1&query=10.6179624,-66.8553734"
caraballeda_east,4530,1,1.0,1.0,1.0,0.9535139092240117,0.0,-66.8549079,10.6180314,"https://www.google.com/maps/search/?api=1&query=10.6180314,-66.8549079"
