id,source_id,damage_gra,damage_class,damage_percent,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,damaged,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_catia_east_00692,19174,Damaged,external-predicted-damaged,97.9,0.979351,0.979351,0.28454,0.105845,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5937982,-67.0178668,"https://www.google.com/maps/search/?api=1&query=10.5937982,-67.0178668"
msft_catia_east_00693,19177,Damaged,external-predicted-damaged,20.9,0.208812,0.018349,0.208812,0.119834,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.593908,-67.0179353,"https://www.google.com/maps/search/?api=1&query=10.5939080,-67.0179353"
msft_catia_east_00694,19341,Damaged,external-predicted-damaged,8.5,0.085366,0.085366,0.076519,0.028191,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5944929,-67.0190784,"https://www.google.com/maps/search/?api=1&query=10.5944929,-67.0190784"
msft_catia_east_00695,19427,Damaged,external-predicted-damaged,15.4,0.154449,0.029126,0.154449,0.055597,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5955917,-67.0136346,"https://www.google.com/maps/search/?api=1&query=10.5955917,-67.0136346"
msft_catia_east_00696,19429,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.199362,0.06026,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5956102,-67.0136757,"https://www.google.com/maps/search/?api=1&query=10.5956102,-67.0136757"
msft_catia_east_00697,19433,Damaged,external-predicted-damaged,10.2,0.102487,0.010638,0.102487,0.040314,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5956147,-67.0135993,"https://www.google.com/maps/search/?api=1&query=10.5956147,-67.0135993"
msft_catia_east_00698,19512,Damaged,external-predicted-damaged,1.1,0.011183,0.011183,0.004279,0.002025,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5962892,-67.0133983,"https://www.google.com/maps/search/?api=1&query=10.5962892,-67.0133983"
msft_catia_east_00699,19561,Damaged,external-predicted-damaged,23.1,0.231317,0.231317,0.023967,0.00864,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5964334,-67.017136,"https://www.google.com/maps/search/?api=1&query=10.5964334,-67.0171360"
msft_catia_east_00700,19562,Damaged,external-predicted-damaged,2.3,0.023334,0.013029,0.023334,0.008504,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5964379,-67.0170612,"https://www.google.com/maps/search/?api=1&query=10.5964379,-67.0170612"
msft_catia_east_00701,19691,Damaged,external-predicted-damaged,76.3,0.762887,0.762887,0.193182,0.062573,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5970037,-67.013966,"https://www.google.com/maps/search/?api=1&query=10.5970037,-67.0139660"
msft_catia_east_00702,19702,Damaged,external-predicted-damaged,5.0,0.049566,0.027599,0.04312,0.049566,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.597261,-67.0115542,"https://www.google.com/maps/search/?api=1&query=10.5972610,-67.0115542"
msft_catia_east_00703,19713,Damaged,external-predicted-damaged,83.8,0.838384,0.838384,0.617497,0.552475,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5974304,-67.011621,"https://www.google.com/maps/search/?api=1&query=10.5974304,-67.0116210"
msft_catia_east_00704,19717,Damaged,external-predicted-damaged,52.6,0.526017,0.21978,0.526017,0.506998,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5974713,-67.0116573,"https://www.google.com/maps/search/?api=1&query=10.5974713,-67.0116573"
msft_catia_east_00705,19756,Damaged,external-predicted-damaged,0.3,0.002692,0.002692,0.000653,0.000302,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5978746,-67.017028,"https://www.google.com/maps/search/?api=1&query=10.5978746,-67.0170280"
msft_catia_east_00706,19834,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.69039,0.458376,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5975588,-67.0116618,"https://www.google.com/maps/search/?api=1&query=10.5975588,-67.0116618"
msft_catia_east_00707,19836,Damaged,external-predicted-damaged,50.8,0.507547,0.507547,0.481229,0.312913,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5975522,-67.0113635,"https://www.google.com/maps/search/?api=1&query=10.5975522,-67.0113635"
msft_catia_east_00708,19859,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.771366,0.421473,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5979387,-67.0119288,"https://www.google.com/maps/search/?api=1&query=10.5979387,-67.0119288"
msft_catia_east_00709,19958,Damaged,external-predicted-damaged,0.4,0.004221,0.003215,0.004221,0.001556,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5964061,-67.0051417,"https://www.google.com/maps/search/?api=1&query=10.5964061,-67.0051417"
msft_catia_east_00710,19966,Damaged,external-predicted-damaged,51.8,0.517857,0.517857,0.233351,0.071862,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5964898,-67.0043207,"https://www.google.com/maps/search/?api=1&query=10.5964898,-67.0043207"
msft_catia_east_00711,19985,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.615796,0.471084,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5981702,-67.0039347,"https://www.google.com/maps/search/?api=1&query=10.5981702,-67.0039347"
msft_catia_east_00712,20020,Damaged,external-predicted-damaged,2.4,0.024422,0.024422,0.007263,0.003069,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5995433,-67.0190922,"https://www.google.com/maps/search/?api=1&query=10.5995433,-67.0190922"
msft_catia_east_00713,20024,Damaged,external-predicted-damaged,19.4,0.193717,0.193717,0.172935,0.064942,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6008038,-67.0188914,"https://www.google.com/maps/search/?api=1&query=10.6008038,-67.0188914"
msft_catia_east_00714,20025,Damaged,external-predicted-damaged,9.3,0.092549,0.060109,0.092549,0.039952,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6008615,-67.0191153,"https://www.google.com/maps/search/?api=1&query=10.6008615,-67.0191153"
msft_catia_east_00715,20043,Damaged,external-predicted-damaged,63.1,0.631083,0.631083,0.258011,0.105726,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6002458,-67.0184851,"https://www.google.com/maps/search/?api=1&query=10.6002458,-67.0184851"
msft_catia_east_00716,20054,Damaged,external-predicted-damaged,7.4,0.073921,0.027831,0.073921,0.033172,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6010654,-67.0189371,"https://www.google.com/maps/search/?api=1&query=10.6010654,-67.0189371"
msft_catia_east_00717,20123,Damaged,external-predicted-damaged,5.9,0.058978,0.002914,0.025377,0.058978,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5975018,-67.0006038,"https://www.google.com/maps/search/?api=1&query=10.5975018,-67.0006038"
msft_catia_east_00718,20126,Damaged,external-predicted-damaged,14.6,0.146079,0.014547,0.053724,0.146079,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5978104,-67.0024996,"https://www.google.com/maps/search/?api=1&query=10.5978104,-67.0024996"
msft_catia_east_00719,20235,Damaged,external-predicted-damaged,27.6,0.275556,0.275556,0.079391,0.04251,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5974424,-66.9890224,"https://www.google.com/maps/search/?api=1&query=10.5974424,-66.9890224"
msft_catia_east_00720,20276,Damaged,external-predicted-damaged,2.8,0.027569,0.027569,0.020456,0.018016,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5983212,-66.985489,"https://www.google.com/maps/search/?api=1&query=10.5983212,-66.9854890"
