id,source_id,damage_gra,damage_class,damage_percent,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,damaged,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_caraballeda_00501,9841,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.723746,0.650022,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6187668,-66.8469321,"https://www.google.com/maps/search/?api=1&query=10.6187668,-66.8469321"
msft_caraballeda_00502,9843,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.886452,0.7909,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6189389,-66.8470395,"https://www.google.com/maps/search/?api=1&query=10.6189389,-66.8470395"
msft_caraballeda_00503,9845,Damaged,external-predicted-damaged,37.6,0.37594,0.37594,0.359495,0.334292,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6191799,-66.8468436,"https://www.google.com/maps/search/?api=1&query=10.6191799,-66.8468436"
msft_caraballeda_00504,9846,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.832451,0.634285,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.618675,-66.8472078,"https://www.google.com/maps/search/?api=1&query=10.6186750,-66.8472078"
msft_caraballeda_00505,9847,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.836282,0.723671,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6187096,-66.847108,"https://www.google.com/maps/search/?api=1&query=10.6187096,-66.8471080"
msft_caraballeda_00506,9849,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.948161,0.672392,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6190903,-66.8473555,"https://www.google.com/maps/search/?api=1&query=10.6190903,-66.8473555"
msft_caraballeda_00507,9850,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.71033,0.555284,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6191982,-66.8473238,"https://www.google.com/maps/search/?api=1&query=10.6191982,-66.8473238"
msft_caraballeda_00508,9851,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.849037,0.705297,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6192016,-66.8471569,"https://www.google.com/maps/search/?api=1&query=10.6192016,-66.8471569"
msft_caraballeda_00509,9853,Damaged,external-predicted-damaged,12.2,0.121732,0.00489,0.121732,0.099252,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6200437,-66.8472848,"https://www.google.com/maps/search/?api=1&query=10.6200437,-66.8472848"
msft_caraballeda_00510,9854,Damaged,external-predicted-damaged,47.1,0.470976,0.058824,0.470976,0.233123,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6200776,-66.8474417,"https://www.google.com/maps/search/?api=1&query=10.6200776,-66.8474417"
msft_caraballeda_00511,9856,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.700258,0.584824,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6192285,-66.8470761,"https://www.google.com/maps/search/?api=1&query=10.6192285,-66.8470761"
msft_caraballeda_00512,9857,Damaged,external-predicted-damaged,97.1,0.97076,0.97076,0.589985,0.479338,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6193496,-66.846451,"https://www.google.com/maps/search/?api=1&query=10.6193496,-66.8464510"
msft_caraballeda_00513,9858,Damaged,external-predicted-damaged,29.7,0.297161,0.013761,0.251361,0.297161,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6193782,-66.8466026,"https://www.google.com/maps/search/?api=1&query=10.6193782,-66.8466026"
msft_caraballeda_00514,9884,Damaged,external-predicted-damaged,57.2,0.571626,0.571626,0.394236,0.274255,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6180799,-66.8462035,"https://www.google.com/maps/search/?api=1&query=10.6180799,-66.8462035"
msft_caraballeda_00515,9893,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.783215,0.465539,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6184358,-66.8445353,"https://www.google.com/maps/search/?api=1&query=10.6184358,-66.8445353"
msft_caraballeda_00516,9894,Damaged,external-predicted-damaged,86.1,0.861199,0.861199,0.580226,0.477929,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6185194,-66.8444793,"https://www.google.com/maps/search/?api=1&query=10.6185194,-66.8444793"
msft_caraballeda_00517,9905,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.340784,0.194862,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6193595,-66.8453861,"https://www.google.com/maps/search/?api=1&query=10.6193595,-66.8453861"
msft_caraballeda_00518,9906,Damaged,external-predicted-damaged,23.0,0.230265,0.191104,0.208693,0.230265,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6195826,-66.8458796,"https://www.google.com/maps/search/?api=1&query=10.6195826,-66.8458796"
msft_caraballeda_00519,9907,Damaged,external-predicted-damaged,100.0,0.99987,0.99987,0.922332,0.618855,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6196427,-66.8462388,"https://www.google.com/maps/search/?api=1&query=10.6196427,-66.8462388"
msft_caraballeda_00520,9909,Damaged,external-predicted-damaged,87.8,0.87801,0.87801,0.477407,0.311002,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6196983,-66.8459214,"https://www.google.com/maps/search/?api=1&query=10.6196983,-66.8459214"
msft_caraballeda_00521,9911,Damaged,external-predicted-damaged,5.3,0.052884,0.015067,0.052884,0.052004,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.619794,-66.8455057,"https://www.google.com/maps/search/?api=1&query=10.6197940,-66.8455057"
msft_caraballeda_00522,9916,Damaged,external-predicted-damaged,58.0,0.580383,0.580383,0.275334,0.133905,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6196443,-66.8439211,"https://www.google.com/maps/search/?api=1&query=10.6196443,-66.8439211"
msft_caraballeda_00523,9919,Damaged,external-predicted-damaged,25.5,0.255358,0.058081,0.255358,0.22317,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6199123,-66.8442029,"https://www.google.com/maps/search/?api=1&query=10.6199123,-66.8442029"
msft_caraballeda_00524,9926,Damaged,external-predicted-damaged,23.8,0.237687,0.051587,0.237687,0.223964,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6196266,-66.8448957,"https://www.google.com/maps/search/?api=1&query=10.6196266,-66.8448957"
msft_caraballeda_00525,9927,Damaged,external-predicted-damaged,80.0,0.800303,0.800303,0.579143,0.42261,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.620022,-66.8449769,"https://www.google.com/maps/search/?api=1&query=10.6200220,-66.8449769"
msft_caraballeda_00526,9928,Damaged,external-predicted-damaged,55.2,0.551724,0.551724,0.169465,0.112829,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6199857,-66.8452518,"https://www.google.com/maps/search/?api=1&query=10.6199857,-66.8452518"
msft_caraballeda_00527,9932,Damaged,external-predicted-damaged,52.8,0.528302,0.528302,0.099272,0.139845,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6200826,-66.8441766,"https://www.google.com/maps/search/?api=1&query=10.6200826,-66.8441766"
msft_caraballeda_00528,9933,Damaged,external-predicted-damaged,71.9,0.719355,0.719355,0.226513,0.121255,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6202868,-66.844116,"https://www.google.com/maps/search/?api=1&query=10.6202868,-66.8441160"
