id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00023,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.604057585,-67.030784653,"https://www.google.com/maps/search/?api=1&query=10.604057585,-67.030784653"
ems_00024,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.604379974,-67.029458654,"https://www.google.com/maps/search/?api=1&query=10.604379974,-67.029458654"
ems_00025,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.604420357837837,-67.0309509154054,"https://www.google.com/maps/search/?api=1&query=10.604420357837837,-67.0309509154054"
ems_00026,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.605147495,-67.03213728749999,"https://www.google.com/maps/search/?api=1&query=10.605147495,-67.03213728749999"
ems_00027,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.60525947732612,-67.0348830284235,"https://www.google.com/maps/search/?api=1&query=10.60525947732612,-67.0348830284235"
ems_00028,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.60493100952941,-67.03313448211765,"https://www.google.com/maps/search/?api=1&query=10.60493100952941,-67.03313448211765"
ems_00029,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.605618074285715,-67.03103998142856,"https://www.google.com/maps/search/?api=1&query=10.605618074285715,-67.03103998142856"
ems_00030,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.606061881666667,-67.025545583,"https://www.google.com/maps/search/?api=1&query=10.606061881666667,-67.025545583"
ems_00031,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.605771187419354,-67.02861496232258,"https://www.google.com/maps/search/?api=1&query=10.605771187419354,-67.02861496232258"
ems_00032,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.607970675,-67.032364653125,"https://www.google.com/maps/search/?api=1&query=10.607970675,-67.032364653125"
ems_00033,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608552014930876,-67.02577978308756,"https://www.google.com/maps/search/?api=1&query=10.608552014930876,-67.02577978308756"
ems_00034,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608039345008404,-67.03443701038655,"https://www.google.com/maps/search/?api=1&query=10.608039345008404,-67.03443701038655"
ems_00035,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608502778703507,-67.02704386155155,"https://www.google.com/maps/search/?api=1&query=10.608502778703507,-67.02704386155155"
ems_00036,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608333004545456,-67.03000628545455,"https://www.google.com/maps/search/?api=1&query=10.608333004545456,-67.03000628545455"
ems_00037,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608585757142858,-67.02935383857142,"https://www.google.com/maps/search/?api=1&query=10.608585757142858,-67.02935383857142"
ems_00038,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608804539285714,-67.03126915,"https://www.google.com/maps/search/?api=1&query=10.608804539285714,-67.03126915"
ems_00039,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608923061818182,-67.0286722890909,"https://www.google.com/maps/search/?api=1&query=10.608923061818182,-67.0286722890909"
ems_00040,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.609351997142856,-67.02810981428571,"https://www.google.com/maps/search/?api=1&query=10.609351997142856,-67.02810981428571"
ems_00041,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608157678495576,-67.0235399399115,"https://www.google.com/maps/search/?api=1&query=10.608157678495576,-67.0235399399115"
ems_00042,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608322817906977,-67.02475446565892,"https://www.google.com/maps/search/?api=1&query=10.608322817906977,-67.02475446565892"
ems_00043,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608328463934425,-67.02125024032787,"https://www.google.com/maps/search/?api=1&query=10.608328463934425,-67.02125024032787"
ems_00044,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.608368029045938,-66.9986873646643,"https://www.google.com/maps/search/?api=1&query=10.608368029045938,-66.9986873646643"
ems_00045,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.608890552857144,-67.01760054571429,"https://www.google.com/maps/search/?api=1&query=10.608890552857144,-67.01760054571429"
ems_00046,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.60879685142857,-67.01596222857142,"https://www.google.com/maps/search/?api=1&query=10.60879685142857,-67.01596222857142"
ems_00047,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.609065894814815,-67.01411440407408,"https://www.google.com/maps/search/?api=1&query=10.609065894814815,-67.01411440407408"
ems_00048,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.609863663999999,-67.009877484,"https://www.google.com/maps/search/?api=1&query=10.609863663999999,-67.009877484"
ems_00049,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.609585159523808,-67.01360289380952,"https://www.google.com/maps/search/?api=1&query=10.609585159523808,-67.01360289380952"
ems_00050,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Destroyed,destroyed,100,Photo-interpretation,Building block,994,3,10.609666013809525,-67.01441043095238,"https://www.google.com/maps/search/?api=1&query=10.609666013809525,-67.01441043095238"
ems_00051,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.609638426557378,-67.01139310032787,"https://www.google.com/maps/search/?api=1&query=10.609638426557378,-67.01139310032787"
ems_00052,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.60974750582569,-66.98619988211009,"https://www.google.com/maps/search/?api=1&query=10.60974750582569,-66.98619988211009"
ems_00053,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.610199397661537,-67.0061719804,"https://www.google.com/maps/search/?api=1&query=10.610199397661537,-67.0061719804"
ems_00054,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.610505655166666,-67.009151284,"https://www.google.com/maps/search/?api=1&query=10.610505655166666,-67.009151284"
ems_00055,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.61067700617647,-67.01328281735293,"https://www.google.com/maps/search/?api=1&query=10.61067700617647,-67.01328281735293"
ems_00056,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.610860842897884,-67.02103362942042,"https://www.google.com/maps/search/?api=1&query=10.610860842897884,-67.02103362942042"
ems_00057,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.610665791818182,-67.01167495,"https://www.google.com/maps/search/?api=1&query=10.610665791818182,-67.01167495"
ems_00058,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.610800195112107,-67.0144296540583,"https://www.google.com/maps/search/?api=1&query=10.610800195112107,-67.0144296540583"
ems_00059,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.610827765652173,-67.01019844836956,"https://www.google.com/maps/search/?api=1&query=10.610827765652173,-67.01019844836956"
ems_00060,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.61309085233146,-67.02221540393259,"https://www.google.com/maps/search/?api=1&query=10.61309085233146,-67.02221540393259"
ems_00061,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.597316664444444,-66.93102622305555,"https://www.google.com/maps/search/?api=1&query=10.597316664444444,-66.93102622305555"
ems_00062,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.598595514835164,-66.92251005263736,"https://www.google.com/maps/search/?api=1&query=10.598595514835164,-66.92251005263736"
ems_00063,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.599817650347129,-66.92506433463284,"https://www.google.com/maps/search/?api=1&query=10.599817650347129,-66.92506433463284"
ems_00064,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.599766886428572,-66.93069049642857,"https://www.google.com/maps/search/?api=1&query=10.599766886428572,-66.93069049642857"
ems_00065,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.600096011208791,-66.93007416593407,"https://www.google.com/maps/search/?api=1&query=10.600096011208791,-66.93007416593407"
ems_00066,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.600272263983051,-66.93431937101694,"https://www.google.com/maps/search/?api=1&query=10.600272263983051,-66.93431937101694"
ems_00067,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.600701960083335,-66.931661464,"https://www.google.com/maps/search/?api=1&query=10.600701960083335,-66.931661464"
